,song_id,artist,genre,is_artist_famous,Premium,Famous,week,number of streams
0,0,0,Jazz,False,False,False,2,0
1,1,5,Jazz,False,False,False,2,0
2,2,0,Jazz,False,False,False,3,0
3,3,1,Alternative,False,False,False,3,0
4,4,3,Alternative,False,False,False,3,0
5,5,0,Jazz,False,False,False,4,0
6,6,1,Alternative,False,False,False,4,0
7,7,3,Alternative,False,False,False,4,0
8,8,4,Electronic,False,True,False,4,0
9,9,6,Jazz,False,False,False,4,0
10,10,9,Classical,False,False,True,4,0
11,11,3,Alternative,False,False,False,5,0
12,12,4,Electronic,False,False,False,5,0
13,13,5,Jazz,False,False,False,5,0
14,14,6,Jazz,False,False,True,5,0
15,15,7,Classical,True,True,False,5,0
16,16,3,Alternative,False,False,False,6,0
17,17,9,Classical,False,False,True,6,0
18,18,3,Alternative,False,False,False,7,0
19,19,4,Electronic,False,False,False,7,0
20,20,11,Jazz,False,False,False,7,0
21,21,1,Alternative,False,False,False,8,0
22,22,2,Pop,False,False,False,8,0
23,23,13,Rock,False,False,False,8,0
24,24,14,Rock,False,False,False,8,0
25,25,6,Jazz,False,False,False,9,0
26,26,11,Jazz,False,True,False,9,0
27,27,14,Rock,False,False,False,9,0
28,28,17,Blues,False,False,False,9,0
29,29,18,Hip-hop,False,False,False,9,0
30,30,19,Classical,False,False,False,9,0
31,31,4,Electronic,False,False,False,10,0
32,32,6,Jazz,False,False,False,10,0
33,33,10,Pop,False,False,False,10,0
34,34,15,Pop,False,False,True,10,0
35,35,16,Jazz,False,False,False,10,0
36,36,19,Classical,False,False,False,10,0
37,37,20,Jazz,False,False,False,10,0
38,38,22,Blues,False,False,False,10,0
39,39,1,Alternative,False,False,False,11,0
40,40,2,Pop,False,False,False,11,0
41,41,5,Jazz,False,False,False,11,0
42,42,7,Classical,True,False,True,11,0
43,43,13,Rock,False,False,False,11,0
44,44,14,Rock,False,False,True,11,0
45,45,15,Pop,False,False,False,11,0
46,46,16,Jazz,False,False,False,11,0
47,47,17,Blues,False,False,False,11,0
48,48,19,Classical,False,False,False,11,0
49,49,22,Blues,False,False,False,11,0
50,50,1,Alternative,False,False,False,12,0
51,51,5,Jazz,False,False,False,12,0
52,52,8,Classical,True,False,True,12,0
53,53,9,Classical,False,False,False,12,0
54,54,14,Rock,False,False,False,12,0
55,55,16,Jazz,False,False,False,12,0
56,56,17,Blues,False,False,True,12,0
57,57,26,Jazz,False,False,False,12,0
58,58,29,Electronic,False,False,False,12,0
59,59,3,Alternative,False,False,False,13,0
60,60,6,Jazz,False,False,False,13,0
61,61,9,Classical,False,False,False,13,0
62,62,14,Rock,False,False,False,13,0
63,63,23,Blues,False,False,False,13,0
64,64,27,Jazz,False,False,False,13,0
65,65,30,Electronic,False,False,False,13,0
66,66,0,Jazz,False,False,True,14,0
67,67,6,Jazz,False,False,False,14,0
68,68,8,Classical,True,True,True,14,0
69,69,9,Classical,False,False,False,14,0
70,70,10,Pop,False,False,False,14,0
71,71,11,Jazz,False,False,False,14,0
72,72,13,Rock,False,False,False,14,0
73,73,14,Rock,False,False,False,14,0
74,74,19,Classical,False,False,False,14,0
75,75,25,Pop,False,True,False,14,0
76,76,2,Pop,False,False,False,15,0
77,77,5,Jazz,False,False,False,15,0
78,78,9,Classical,False,False,False,15,0
79,79,19,Classical,False,False,False,15,0
80,80,22,Blues,False,False,False,15,0
81,81,26,Jazz,False,False,False,15,0
82,82,35,Jazz,False,False,True,15,0
83,83,0,Jazz,False,False,False,16,0
84,84,1,Alternative,False,False,False,16,0
85,85,2,Pop,False,False,False,16,0
86,86,10,Pop,False,False,False,16,0
87,87,13,Rock,False,False,False,16,0
88,88,14,Rock,False,False,True,16,0
89,89,15,Pop,False,False,False,16,0
90,90,17,Blues,False,True,False,16,0
91,91,21,Blues,False,False,False,16,0
92,92,22,Blues,False,True,False,16,0
93,93,25,Pop,False,False,False,16,0
94,94,29,Electronic,False,False,False,16,0
95,95,30,Electronic,False,True,False,16,0
96,96,31,Jazz,False,False,False,16,0
97,97,32,Electronic,False,False,False,16,0
98,98,34,Blues,False,False,False,16,0
99,99,2,Pop,False,False,False,17,0
100,100,4,Electronic,False,False,False,17,0
101,101,12,Alternative,False,False,True,17,0
102,102,16,Jazz,False,False,False,17,0
103,103,17,Blues,False,False,False,17,0
104,104,22,Blues,False,False,False,17,0
105,105,24,Electronic,False,False,True,17,0
106,106,26,Jazz,False,False,False,17,0
107,107,31,Jazz,False,False,False,17,0
108,108,35,Jazz,False,False,False,17,0
109,109,37,Jazz,False,False,False,17,0
110,110,39,Pop,False,False,False,17,0
111,111,0,Jazz,False,False,False,18,0
112,112,1,Alternative,False,False,False,18,0
113,113,2,Pop,False,False,False,18,0
114,114,5,Jazz,False,False,False,18,0
115,115,6,Jazz,False,False,False,18,0
116,116,13,Rock,False,False,False,18,0
117,117,15,Pop,False,False,False,18,0
118,118,17,Blues,False,False,False,18,0
119,119,18,Hip-hop,False,False,False,18,0
120,120,24,Electronic,False,True,False,18,0
121,121,32,Electronic,False,True,False,18,0
