song_id,artist_id,genre,is_artist_famous,is_premium,is_famous,week_released,number_of_streams
0,2,Jazz,False,False,True,1,3373
1,3,Jazz,False,True,True,2,18968
2,7,Jazz,False,False,True,4,1626
3,5,Pop,False,False,True,5,1529
4,6,Alternative,False,False,True,5,1441
5,7,Jazz,False,False,True,5,1570
6,8,Classical,False,True,True,5,16914
7,11,Rock,False,False,True,5,1435
8,0,Jazz,False,False,True,6,1142
9,3,Jazz,False,False,True,6,1419
10,13,Jazz,False,False,True,6,1452
11,0,Jazz,False,True,True,7,16913
12,13,Jazz,False,False,True,8,1096
13,6,Alternative,False,False,False,9,957
14,9,Blues,False,False,True,9,1120
15,11,Rock,False,False,True,9,1006
16,19,Hip-hop,False,False,True,9,1108
17,0,Jazz,False,False,False,10,844
18,5,Pop,False,False,True,10,941
19,8,Classical,False,False,False,10,910
20,10,Alternative,False,False,False,10,847
21,12,Jazz,False,False,False,10,922
22,14,Electronic,False,True,True,10,16569
23,20,Blues,False,False,False,10,774
24,1,Electronic,False,False,True,11,945
25,3,Jazz,False,True,True,11,14974
26,12,Jazz,False,False,True,11,1121
27,14,Electronic,False,False,False,11,859
28,16,Alternative,False,False,False,11,900
29,18,Blues,False,False,False,11,880
30,20,Blues,False,False,False,11,813
31,24,Alternative,False,False,False,11,874
32,0,Jazz,False,False,False,12,897
33,3,Jazz,False,False,False,12,779
34,4,Jazz,False,False,False,12,711
35,6,Alternative,False,False,False,12,715
36,13,Jazz,False,False,False,12,707
37,19,Hip-hop,False,False,False,12,944
38,21,Pop,False,False,False,12,976
39,24,Alternative,False,False,False,12,596
40,28,Jazz,False,False,False,12,654
41,2,Jazz,False,False,False,13,532
42,5,Pop,False,False,False,13,859
43,8,Classical,False,False,False,13,754
44,9,Blues,False,False,False,13,609
45,11,Rock,False,False,False,13,967
46,12,Jazz,False,False,False,13,788
47,13,Jazz,False,False,False,13,706
48,16,Alternative,False,False,True,13,761
49,18,Blues,False,False,True,13,640
50,25,Rock,False,True,True,13,20683
51,26,Jazz,False,False,False,13,596
52,32,Pop,False,True,True,13,17956
